username,created_at,lng,lat,text,,,,
qazaqmilk, Sun Jan 24 03:48:19 +0000 2021,-87.732013,41.833585, @AidarBekturov @tweetonkg Ору ,,,,
imBodrew, Sun Jan 24 03:48:19 +0000 2021,-84.070393,36.182474, @JoynerNic same story for Knoxville ,,,,
mattcolvin50, Sun Jan 24 03:48:19 +0000 2021,-68.984705,45.188407, @KristySwansonXO Better to say umm than to spew BS like all of Trump's lies. What is it with you washed up entertai… https://t.co/6IrkitkGVV ,,,,
torbor_n, Sun Jan 24 03:48:19 +0000 2021,-72.640867,41.987733, Republicans are just a group of fucking traitors when they lost elections ,,,,
SterlingShine7, Sun Jan 24 03:48:19 +0000 2021,-74.066663,40.718001, @Arlandria_II Glad to see you doing well. ,,,,
Lindabr69744112, Sun Jan 24 03:48:19 +0000 2021,-81.698887,28.017305, 💯💯💯💯 ,,,,
LIEDERKLANNAD, Sun Jan 24 03:48:19 +0000 2021,140.783373,41.782324, アスルクラロ函館ってなんやあああああw https://t.co/kFW4sHFlDC ,,,,
ANKARE_ESSE, Sun Jan 24 03:48:20 +0000 2021,136.936805,34.975787, I'm at 528Production知多半島支部 in 東浦町, 愛知県 https://t.co/dfWhMjR74U ,,,
digger9375, Sun Jan 24 03:48:20 +0000 2021,-111.965525,33.545687, @EmmanuelAcho @TexasFootball Sorry but Utah has the best DC in PAC-12.  Nice try though. ,,,,
moonkittynet, Sun Jan 24 03:48:20 +0000 2021,145.053135,-37.972566, @talesofmichele @ryry35 https://t.co/t0fDrgGzgZ ,,,,
junjun_3804, Sun Jan 24 03:48:20 +0000 2021,139.756365,35.686885, 日曜日だから整体休みやったな(´・ω・｀) ,,,,
suns_tutu_fan, Sun Jan 24 03:48:20 +0000 2021,-112.124676,33.552863, THESE CALLS 😐 ,,,,
Mr_713_, Sun Jan 24 03:48:20 +0000 2021,-95.446486,29.838495, 〰️➕1️⃣ ,,,,
kurao0049, Sun Jan 24 03:48:20 +0000 2021,137.403084,34.754354, なんでお昼ご飯って言うんだろう？お朝ご飯とかお夜ご飯とかは言わないのに…とたわいも無い会話は娘とのランチデート(^^)v久しぶりに娘お気に入りのmix Berry @cinema_mixberry さんに。今日も美味しかった(… https://t.co/GMPDCMyjZe ,,,,
vUjdty8n8DMr2vL, Sun Jan 24 03:48:20 +0000 2021,135.68001,34.924083, @melonlove12 いいね。ナイス ,,,,
Chaaaan_Crazy, Sun Jan 24 03:48:20 +0000 2021,140.273323,39.657004, マシンガンの「カレーそば大(麺固めアブラマシ)・豚ダブル・チェダーチーズクォーター・味玉(ニンニクなし)」ビジュアルが芸術的すぎる…そして安定のチェダーチーズが大量に絡むと凄まじいコクになった…これぞチー豚… https://t.co/cv0PXoQJAM ,,,,
SinceTalk, Sun Jan 24 03:48:20 +0000 2021,-75.117998,40.004866, Confession: I've recently noticed .. I REALLY love niccas stroke they own Shyt https://t.co/wDyB5BOb1p ,,,,
mstorie23, Sun Jan 24 03:48:21 +0000 2021,-93.593803,33.662042, I just be in the house doing nothing... 🤦🏾‍♀️ ,,,,
mogeru2000, Sun Jan 24 03:48:20 +0000 2021,139.65925,35.706066, 周回遅れのおじさんです。残すはあと３巻！続きが気になるぜ！#鬼滅の刃 https://t.co/OpC1WtPPqs ,,,,
doctor_rpm, Sun Jan 24 03:48:21 +0000 2021,-96.696562,40.803235, @rainbasin @GoBigRedCast @ESPNHOOKSY Point taken, you’re right.  But it sounds way worse after a loss ,,,
neunoi, Sun Jan 24 03:48:21 +0000 2021,142.575969,43.437478, @niekirantouhu 趣味だったら仕方ないですね😌 ,,,,
Oyasumiyabi, Sun Jan 24 03:48:21 +0000 2021,139.77,35.68, 気づいたら芽が生えてきてた🌱.#ryutaroyamada @ Tokyo, Japan https://t.co/lqncZU9IXh ,,,
YANON15, Sun Jan 24 03:48:21 +0000 2021,139.731741,35.833731, 【ドラゴンボールZ ドッカンバトル】もうすぐ6周年！今ならカムバックキャンペーンで、期間中のカムバックユーザー数に応じて豪華報酬をプレゼント！さらに「ドラゴンボール超」に関連した物語イベントが大量復刻して開催中だ！… https://t.co/0MLIBMoxX7 ,,,,
anthonymsansone, Sun Jan 24 03:48:21 +0000 2021,-87.732013,41.833585, Giana do you remember this ,,,,
DagoAcevedo, Sun Jan 24 03:48:21 +0000 2021,-77.014398,38.898603, @LindseyBoylan Just sent you a donation, rooting for you from Washington, DC! ✨ ,,
extraiceplease, Sun Jan 24 03:48:21 +0000 2021,-80.4632,25.706249, Dating in Miami love story 😝 ,,,,
conleycvw, Sun Jan 24 03:48:21 +0000 2021,-82.669467,40.36516, @aardvarkwizard I've got to set up one of our TVs for air local, the one Toledo station's secondary channel is (or… https://t.co/eorOm3zNvE ,,,
